"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USTEC_ICM_UTC2";"Buy";"11034.6";"11059.6";"2023.01.03 16:30:00";"2023.01.03 16:30:00";"20.0";"500.00";"10934.59961";"11059.59961";"50500.00";"0.00";"OOS1";"PT";"0s";"-0.00"
"2";"USTEC_ICM_UTC2";"Buy";"10900.0";"10925.0";"2023.01.04 17:00:00";"2023.01.04 17:00:00";"20.0";"500.00";"10800.00000";"10925.00000";"51000.00";"0.00";"OOS1";"PT";"0s";"-0.00"
"3";"USTEC_ICM_UTC2";"Buy";"10798.4";"10823.4";"2023.01.05 21:00:00";"2023.01.05 21:30:00";"20.0";"500.00";"10698.40039";"10823.40039";"51500.00";"0.00";"OOS1";"PT";"30m 0s";"-0.00"
"4";"USTEC_ICM_UTC2";"Buy";"10815.3";"10840.3";"2023.01.06 16:30:00";"2023.01.06 16:30:00";"20.0";"500.00";"10715.29980";"10840.29980";"52000.00";"0.00";"OOS1";"PT";"0s";"-0.00"
"5";"USTEC_ICM_UTC2";"Buy";"11165.2";"11190.2";"2023.01.09 16:45:00";"2023.01.09 16:45:00";"20.0";"500.00";"11065.20020";"11190.20020";"52500.00";"0.00";"OOS1";"PT";"0s";"-0.00"
"6";"USTEC_ICM_UTC2";"Buy";"11116.7";"11141.7";"2023.01.10 16:45:00";"2023.01.10 16:45:00";"20.0";"500.00";"11016.70020";"11141.70020";"53000.00";"0.00";"OOS1";"PT";"0s";"-0.00"
"7";"USTEC_ICM_UTC2";"Buy";"11246.8";"11271.8";"2023.01.11 16:30:00";"2023.01.11 16:30:00";"20.0";"500.00";"11146.79980";"11271.79980";"53500.00";"0.00";"OOS1";"PT";"0s";"-0.00"
"8";"USTEC_ICM_UTC2";"Buy";"11410.7";"11435.7";"2023.01.12 16:30:00";"2023.01.12 16:30:00";"20.0";"500.00";"11310.70020";"11435.70020";"54000.00";"0.00";"OOS1";"PT";"0s";"-0.00"
"9";"USTEC_ICM_UTC2";"Buy";"11443.3";"11468.3";"2023.01.13 17:45:00";"2023.01.13 17:45:00";"20.0";"500.00";"11343.29980";"11468.29980";"54500.00";"0.00";"OOS1";"PT";"0s";"-0.00"
"10";"USTEC_ICM_UTC2";"Buy";"11532.5";"11557.5";"2023.01.16 17:00:00";"2023.01.17 16:45:00";"20.0";"377.92";"11432.50000";"11557.50000";"54877.92";"0.00";"OOS1";"PT";"23h 45m";"-122.08"
"11";"USTEC_ICM_UTC2";"Buy";"11548.3";"11573.3";"2023.01.17 17:00:00";"2023.01.17 17:00:00";"20.0";"500.00";"11448.29980";"11573.29980";"55377.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"12";"USTEC_ICM_UTC2";"Buy";"11627.3";"11652.3";"2023.01.18 16:30:00";"2023.01.18 16:30:00";"20.0";"500.00";"11527.29980";"11652.29980";"55877.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"13";"USTEC_ICM_UTC2";"Buy";"11332.1";"11357.1";"2023.01.19 17:00:00";"2023.01.19 20:30:00";"20.0";"500.00";"11232.09961";"11357.09961";"56377.92";"0.00";"OOS1";"PT";"3h 30m";"-0.00"
"14";"USTEC_ICM_UTC2";"Buy";"11379.4";"11404.4";"2023.01.20 16:45:00";"2023.01.20 16:45:00";"20.0";"500.00";"11279.40039";"11404.40039";"56877.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"15";"USTEC_ICM_UTC2";"Buy";"11741.3";"11766.3";"2023.01.23 17:00:00";"2023.01.23 17:00:00";"20.0";"500.00";"11641.29980";"11766.29980";"57377.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"16";"USTEC_ICM_UTC2";"Buy";"11844.5";"11869.5";"2023.01.24 17:15:00";"2023.01.24 17:15:00";"20.0";"500.00";"11744.50000";"11869.50000";"57877.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"17";"USTEC_ICM_UTC2";"Buy";"11675.0";"11700.0";"2023.01.25 18:45:00";"2023.01.25 18:45:00";"20.0";"500.00";"11575.00000";"11700.00000";"58377.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"18";"USTEC_ICM_UTC2";"Buy";"11958.8";"11983.8";"2023.01.26 16:30:00";"2023.01.26 16:30:00";"20.0";"500.00";"11858.79980";"11983.79980";"58877.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"19";"USTEC_ICM_UTC2";"Buy";"12116.3";"12141.3";"2023.01.27 17:15:00";"2023.01.27 18:30:00";"20.0";"500.00";"12016.29980";"12141.29980";"59377.92";"0.00";"OOS1";"PT";"1h 15m";"-0.00"
"20";"USTEC_ICM_UTC2";"Buy";"12026.6";"12051.6";"2023.01.30 16:30:00";"2023.01.30 16:30:00";"20.0";"500.00";"11926.59961";"12051.59961";"59877.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"21";"USTEC_ICM_UTC2";"Buy";"11920.1";"11945.1";"2023.01.31 16:30:00";"2023.01.31 16:30:00";"20.0";"500.00";"11820.09961";"11945.09961";"60377.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"22";"USTEC_ICM_UTC2";"Buy";"12061.1";"12086.1";"2023.02.01 16:45:00";"2023.02.01 16:45:00";"20.0";"500.00";"11961.09961";"12086.09961";"60877.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"23";"USTEC_ICM_UTC2";"Buy";"12626.9";"12651.9";"2023.02.02 16:30:00";"2023.02.02 16:30:00";"20.0";"500.00";"12526.90039";"12651.90039";"61377.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"24";"USTEC_ICM_UTC2";"Buy";"12702.8";"12727.8";"2023.02.03 17:15:00";"2023.02.03 17:15:00";"20.0";"500.00";"12602.79980";"12727.79980";"61877.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"25";"USTEC_ICM_UTC2";"Buy";"12500.7";"12525.7";"2023.02.06 17:00:00";"2023.02.06 17:00:00";"20.0";"500.00";"12400.70020";"12525.70020";"62377.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"26";"USTEC_ICM_UTC2";"Buy";"12456.5";"12481.5";"2023.02.07 17:15:00";"2023.02.07 17:30:00";"20.0";"500.00";"12356.50000";"12481.50000";"62877.92";"0.00";"OOS1";"PT";"15m 0s";"-0.00"
"27";"USTEC_ICM_UTC2";"Buy";"12653.0";"12678.0";"2023.02.08 17:15:00";"2023.02.08 17:15:00";"20.0";"500.00";"12553.00000";"12678.00000";"63377.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"28";"USTEC_ICM_UTC2";"Buy";"12676.2";"12576.2";"2023.02.09 16:30:00";"2023.02.09 17:15:00";"20.0";"-2000.00";"12576.20020";"12701.20020";"61377.92";"0.00";"OOS1";"SL";"45m 0s";"-0.00"
"29";"USTEC_ICM_UTC2";"Buy";"12343.7";"12243.7";"2023.02.10 17:30:00";"2023.02.10 18:45:00";"20.0";"-2000.00";"12243.70020";"12368.70020";"59377.92";"0.00";"OOS1";"SL";"1h 15m";"-0.00"
"30";"USTEC_ICM_UTC2";"Buy";"12421.1";"12446.1";"2023.02.13 17:00:00";"2023.02.13 17:45:00";"20.0";"500.00";"12321.09961";"12446.09961";"59877.92";"0.00";"OOS1";"PT";"45m 0s";"-0.00"
"31";"USTEC_ICM_UTC2";"Buy";"12550.8";"12450.8";"2023.02.14 17:30:00";"2023.02.14 17:30:00";"20.0";"-2000.00";"12450.79980";"12575.79980";"57877.92";"0.00";"OOS1";"SL";"0s";"-0.00"
"32";"USTEC_ICM_UTC2";"Buy";"12504.7";"12529.7";"2023.02.15 16:30:00";"2023.02.15 16:30:00";"20.0";"500.00";"12404.70020";"12529.70020";"58377.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"33";"USTEC_ICM_UTC2";"Buy";"12611.4";"12636.4";"2023.02.16 18:00:00";"2023.02.16 19:30:00";"20.0";"500.00";"12511.40039";"12636.40039";"58877.92";"0.00";"OOS1";"PT";"1h 30m";"-0.00"
"34";"USTEC_ICM_UTC2";"Buy";"12351.3";"12376.3";"2023.02.17 16:30:00";"2023.02.17 16:30:00";"20.0";"500.00";"12251.29980";"12376.29980";"59377.92";"0.00";"OOS1";"PT";"0s";"-0.00"
"35";"USTEC_ICM_UTC2";"Buy";"12353.5";"12253.5";"2023.02.20 17:00:00";"2023.02.21 10:30:00";"20.0";"-2122.08";"12253.50000";"12378.50000";"57255.84";"0.00";"OOS1";"SL";"17h 30m";"-122.08"
"36";"USTEC_ICM_UTC2";"Buy";"12158.9";"12183.9";"2023.02.21 17:15:00";"2023.02.21 17:30:00";"20.0";"500.00";"12058.90039";"12183.90039";"57755.84";"0.00";"OOS1";"PT";"15m 0s";"-0.00"
"37";"USTEC_ICM_UTC2";"Buy";"12088.1";"12113.1";"2023.02.22 16:30:00";"2023.02.22 16:30:00";"20.0";"500.00";"11988.09961";"12113.09961";"58255.84";"0.00";"OOS1";"PT";"0s";"-0.00"
"38";"USTEC_ICM_UTC2";"Buy";"12218.6";"12118.6";"2023.02.23 16:30:00";"2023.02.23 17:45:00";"20.0";"-2000.00";"12118.59961";"12243.59961";"56255.84";"0.00";"OOS1";"SL";"1h 15m";"-0.00"
"39";"USTEC_ICM_UTC2";"Buy";"11953.1";"11978.1";"2023.02.24 22:30:00";"2023.02.24 22:45:00";"20.0";"500.00";"11853.09961";"11978.09961";"56755.84";"0.00";"OOS1";"PT";"15m 0s";"-0.00"
"40";"USTEC_ICM_UTC2";"Buy";"12106.7";"12131.7";"2023.02.27 16:30:00";"2023.02.27 17:00:00";"20.0";"500.00";"12006.70020";"12131.70020";"57255.84";"0.00";"OOS1";"PT";"30m 0s";"-0.00"
"41";"USTEC_ICM_UTC2";"Buy";"12029.9";"12054.9";"2023.02.28 16:30:00";"2023.02.28 16:30:00";"20.0";"500.00";"11929.90039";"12054.90039";"57755.84";"0.00";"OOS1";"PT";"0s";"-0.00"
"42";"USTEC_ICM_UTC2";"Buy";"11972.1";"11872.1";"2023.03.01 20:15:00";"2023.03.02 03:30:00";"20.0";"-2122.08";"11872.09961";"11997.09961";"55633.76";"0.00";"OOS1";"SL";"7h 15m";"-122.08"
"43";"USTEC_ICM_UTC2";"Buy";"11897.9";"11922.9";"2023.03.02 17:30:00";"2023.03.02 20:30:00";"20.0";"500.00";"11797.90039";"11922.90039";"56133.76";"0.00";"OOS1";"PT";"3h 0m";"-0.00"
"44";"USTEC_ICM_UTC2";"Buy";"12113.2";"12138.2";"2023.03.03 16:30:00";"2023.03.03 16:45:00";"20.0";"500.00";"12013.20020";"12138.20020";"56633.76";"0.00";"OOS1";"PT";"15m 0s";"-0.00"
"45";"USTEC_ICM_UTC2";"Buy";"12363.9";"12389.1";"2023.03.06 17:00:00";"2023.03.06 17:15:00";"20.0";"503.16";"12263.90039";"12388.90039";"57136.92";"0.00";"OOS1";"PT";"15m 0s";"-0.00"
"46";"USTEC_ICM_UTC2";"Buy";"12194.6";"12219.6";"2023.03.07 17:15:00";"2023.03.07 17:15:00";"20.0";"500.00";"12094.59961";"12219.59961";"57636.92";"0.00";"OOS1";"PT";"0s";"-0.00"
