"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USATECHIDXUSD_ICM";"Buy";"4217.8";"4192.8";"2015.01.02 20:01:00";"2015.01.05 16:51:00";"20.0";"-500.00";"4192.79980";"4242.79980";"9500.00";"0.00";"IST";"SL";"2d 20h 50m";"-0.00"
"2";"USATECHIDXUSD_ICM";"Buy";"4166.7";"4141.7";"2015.01.05 20:01:00";"2015.01.06 17:59:00";"20.0";"-500.00";"4141.70020";"4191.70020";"9000.00";"0.00";"IST";"SL";"21h 58m";"-0.00"
"3";"USATECHIDXUSD_ICM";"Buy";"4118.7";"4093.7";"2015.01.06 20:01:00";"2015.01.06 20:19:00";"20.0";"-500.00";"4093.69995";"4143.70020";"8500.00";"0.00";"IST";"SL";"18m 0s";"-0.00"
"4";"USATECHIDXUSD_ICM";"Buy";"4094.6";"4119.6";"2015.01.06 20:20:00";"2015.01.06 21:28:00";"20.0";"500.00";"4069.60010";"4119.60010";"9000.00";"0.00";"IST";"PT";"1h 8m";"-0.00"
"5";"USATECHIDXUSD_ICM";"Buy";"4159.8";"4184.8";"2015.01.07 20:01:00";"2015.01.08 03:37:00";"20.0";"500.00";"4134.79980";"4184.79980";"9500.00";"0.00";"IST";"PT";"7h 36m";"-0.00"
"6";"USATECHIDXUSD_ICM";"Buy";"4241.0";"4216.0";"2015.01.08 20:01:00";"2015.01.09 17:31:00";"20.0";"-500.00";"4216.00000";"4266.00000";"9000.00";"0.00";"IST";"SL";"21h 30m";"-0.00"
"7";"USATECHIDXUSD_ICM";"Buy";"4209.9";"4184.9";"2015.01.09 20:01:00";"2015.01.12 16:41:00";"20.0";"-500.00";"4184.89990";"4234.89990";"8500.00";"0.00";"IST";"SL";"2d 20h 40m";"-0.00"
"8";"USATECHIDXUSD_ICM";"Buy";"4176.0";"4201.0";"2015.01.12 20:01:00";"2015.01.13 13:57:00";"20.0";"500.00";"4151.00000";"4201.00000";"9000.00";"0.00";"IST";"PT";"17h 56m";"-0.00"
"9";"USATECHIDXUSD_ICM";"Buy";"4219.9";"4194.9";"2015.01.13 20:01:00";"2015.01.13 20:27:00";"20.0";"-500.00";"4194.89990";"4244.89990";"8500.00";"0.00";"IST";"SL";"26m 0s";"-0.00"
"10";"USATECHIDXUSD_ICM";"Buy";"4194.0";"4169.0";"2015.01.13 20:28:00";"2015.01.13 20:51:00";"20.0";"-500.00";"4169.00000";"4219.00000";"8000.00";"0.00";"IST";"SL";"23m 0s";"-0.00"
"11";"USATECHIDXUSD_ICM";"Buy";"4170.0";"4145.0";"2015.01.13 20:52:00";"2015.01.13 21:07:00";"20.0";"-500.00";"4145.00000";"4195.00000";"7500.00";"0.00";"IST";"SL";"15m 0s";"-0.00"
"12";"USATECHIDXUSD_ICM";"Buy";"4131.9";"4106.9";"2015.01.14 20:01:00";"2015.01.14 20:45:00";"20.0";"-500.00";"4106.89990";"4156.89990";"7000.00";"0.00";"IST";"SL";"44m 0s";"-0.00"
"13";"USATECHIDXUSD_ICM";"Buy";"4111.8";"4136.8";"2015.01.14 20:46:00";"2015.01.14 21:19:00";"20.0";"500.00";"4086.80005";"4136.79980";"7500.00";"0.00";"IST";"PT";"33m 0s";"-0.00"
"14";"USATECHIDXUSD_ICM";"Buy";"4097.0";"4072.0";"2015.01.15 20:01:00";"2015.01.16 00:13:00";"20.0";"-500.00";"4072.00000";"4122.00000";"7000.00";"0.00";"IST";"SL";"4h 12m";"-0.00"
"15";"USATECHIDXUSD_ICM";"Buy";"4119.1";"4144.1";"2015.01.16 20:01:00";"2015.01.19 02:10:00";"20.0";"500.00";"4094.10010";"4144.10010";"7500.00";"0.00";"IST";"PT";"2d 6h 9m";"-0.00"
"16";"USATECHIDXUSD_ICM";"Buy";"4142.3";"4167.3";"2015.01.20 20:01:00";"2015.01.20 21:37:00";"20.0";"500.00";"4117.29980";"4167.29980";"8000.00";"0.00";"IST";"PT";"1h 36m";"-0.00"
"17";"USATECHIDXUSD_ICM";"Buy";"4192.0";"4217.0";"2015.01.21 20:01:00";"2015.01.22 15:40:00";"20.0";"500.00";"4167.00000";"4217.00000";"8500.00";"0.00";"IST";"PT";"19h 39m";"-0.00"
"18";"USATECHIDXUSD_ICM";"Buy";"4232.0";"4257.0";"2015.01.22 20:01:00";"2015.01.22 21:55:00";"20.0";"500.00";"4207.00000";"4257.00000";"9000.00";"0.00";"IST";"PT";"1h 54m";"-0.00"
"19";"USATECHIDXUSD_ICM";"Buy";"4282.9";"4254.4";"2015.01.23 20:01:00";"2015.01.26 01:00:00";"20.0";"-569.40";"4257.89990";"4307.89990";"8430.60";"0.00";"IST";"SL";"2d 4h 59m";"-0.00"
"20";"USATECHIDXUSD_ICM";"Buy";"4269.7";"4244.7";"2015.01.26 20:01:00";"2015.01.27 14:03:00";"20.0";"-500.00";"4244.70020";"4294.70020";"7930.60";"0.00";"IST";"SL";"18h 2m";"-0.00"
"21";"USATECHIDXUSD_ICM";"Buy";"4186.0";"4211.0";"2015.01.27 20:01:00";"2015.01.27 23:31:00";"20.0";"500.00";"4161.00000";"4211.00000";"8430.60";"0.00";"IST";"PT";"3h 30m";"-0.00"
"22";"USATECHIDXUSD_ICM";"Buy";"4207.2";"4182.2";"2015.01.28 20:01:00";"2015.01.28 21:28:00";"20.0";"-500.00";"4182.20020";"4232.20020";"7930.60";"0.00";"IST";"SL";"1h 27m";"-0.00"
"23";"USATECHIDXUSD_ICM";"Buy";"4128.0";"4153.0";"2015.01.29 20:01:00";"2015.01.29 20:50:00";"20.0";"500.00";"4103.00000";"4153.00000";"8430.60";"0.00";"IST";"PT";"49m 0s";"-0.00"
"24";"USATECHIDXUSD_ICM";"Buy";"4155.8";"4180.8";"2015.01.29 20:51:00";"2015.01.29 22:25:00";"20.0";"500.00";"4130.79980";"4180.79980";"8930.60";"0.00";"IST";"PT";"1h 34m";"-0.00"
"25";"USATECHIDXUSD_ICM";"Buy";"4192.3";"4167.3";"2015.01.30 20:01:00";"2015.01.30 22:07:00";"20.0";"-500.00";"4167.29980";"4217.29980";"8430.60";"0.00";"IST";"SL";"2h 6m";"-0.00"
"26";"USATECHIDXUSD_ICM";"Buy";"4136.0";"4161.0";"2015.02.02 20:01:00";"2015.02.02 22:32:00";"20.0";"500.00";"4111.00000";"4161.00000";"8930.60";"0.00";"IST";"PT";"2h 31m";"-0.00"
"27";"USATECHIDXUSD_ICM";"Buy";"4189.3";"4214.3";"2015.02.03 20:01:00";"2015.02.03 22:00:00";"20.0";"500.00";"4164.29980";"4214.29980";"9430.60";"0.00";"IST";"PT";"1h 59m";"-0.00"
"28";"USATECHIDXUSD_ICM";"Buy";"4225.5";"4194.1";"2015.02.04 20:01:00";"2015.02.04 23:33:00";"20.0";"-627.42";"4200.50000";"4250.50000";"8803.18";"0.00";"IST";"SL";"3h 32m";"-0.00"
"29";"USATECHIDXUSD_ICM";"Buy";"4235.7";"4260.7";"2015.02.05 20:01:00";"2015.02.06 15:30:00";"20.0";"500.00";"4210.70020";"4260.70020";"9303.18";"0.00";"IST";"PT";"19h 29m";"-0.00"
"30";"USATECHIDXUSD_ICM";"Buy";"4258.7";"4233.7";"2015.02.06 20:01:00";"2015.02.06 20:26:00";"20.0";"-500.00";"4233.70020";"4283.70020";"8803.18";"0.00";"IST";"SL";"25m 0s";"-0.00"
"31";"USATECHIDXUSD_ICM";"Buy";"4234.2";"4209.2";"2015.02.06 20:27:00";"2015.02.09 03:23:00";"20.0";"-500.00";"4209.20020";"4259.20020";"8303.18";"0.00";"IST";"SL";"2d 6h 56m";"-0.00"
"32";"USATECHIDXUSD_ICM";"Buy";"4231.3";"4256.3";"2015.02.09 20:01:00";"2015.02.10 18:44:00";"20.0";"500.00";"4206.29980";"4256.29980";"8803.18";"0.00";"IST";"PT";"22h 43m";"-0.00"
"33";"USATECHIDXUSD_ICM";"Buy";"4266.3";"4291.3";"2015.02.10 20:01:00";"2015.02.11 16:38:00";"20.0";"500.00";"4241.29980";"4291.29980";"9303.18";"0.00";"IST";"PT";"20h 37m";"-0.00"
"34";"USATECHIDXUSD_ICM";"Buy";"4289.1";"4314.1";"2015.02.11 20:01:00";"2015.02.11 23:39:00";"20.0";"500.00";"4264.10010";"4314.10010";"9803.18";"0.00";"IST";"PT";"3h 38m";"-0.00"
"35";"USATECHIDXUSD_ICM";"Buy";"4337.0";"4362.0";"2015.02.12 20:01:00";"2015.02.13 11:08:00";"20.0";"500.00";"4312.00000";"4362.00000";"10303.18";"0.00";"IST";"PT";"15h 7m";"-0.00"
"36";"USATECHIDXUSD_ICM";"Buy";"4368.9";"4393.9";"2015.02.13 20:01:00";"2015.02.19 14:01:00";"20.0";"500.00";"4343.89990";"4393.89990";"10803.18";"0.00";"IST";"PT";"5d 18h 0m";"-0.00"
"37";"USATECHIDXUSD_ICM";"Buy";"4409.0";"4434.0";"2015.02.19 20:01:00";"2015.02.20 21:01:00";"20.0";"500.00";"4384.00000";"4434.00000";"11303.18";"0.00";"IST";"PT";"1d 1h 0m";"-0.00"
"38";"USATECHIDXUSD_ICM";"Buy";"4440.6";"4465.6";"2015.02.23 20:01:00";"2015.03.02 16:55:00";"20.0";"500.00";"4415.60010";"4465.60010";"11803.18";"0.00";"IST";"PT";"6d 20h 54m";"-0.00"
"39";"USATECHIDXUSD_ICM";"Buy";"4466.4";"4441.4";"2015.03.02 20:01:00";"2015.03.03 18:34:00";"20.0";"-500.00";"4441.39990";"4491.39990";"11303.18";"0.00";"IST";"SL";"22h 33m";"-0.00"
"40";"USATECHIDXUSD_ICM";"Buy";"4450.9";"4425.9";"2015.03.03 20:01:00";"2015.03.04 16:44:00";"20.0";"-500.00";"4425.89990";"4475.89990";"10803.18";"0.00";"IST";"SL";"20h 43m";"-0.00"
"41";"USATECHIDXUSD_ICM";"Buy";"4447.1";"4422.1";"2015.03.04 20:01:00";"2015.03.06 18:25:00";"20.0";"-500.00";"4422.10010";"4472.10010";"10303.18";"0.00";"IST";"SL";"1d 22h 24m";"-0.00"
"42";"USATECHIDXUSD_ICM";"Buy";"4412.0";"4387.0";"2015.03.06 20:01:00";"2015.03.10 13:08:00";"20.0";"-500.00";"4387.00000";"4437.00000";"9803.18";"0.00";"IST";"SL";"3d 17h 7m";"-0.00"
"43";"USATECHIDXUSD_ICM";"Buy";"4346.9";"4321.9";"2015.03.10 20:01:00";"2015.03.11 17:35:00";"20.0";"-500.44";"4321.89990";"4371.89990";"9302.74";"0.00";"IST";"SL";"21h 34m";"-0.00"
"44";"USATECHIDXUSD_ICM";"Buy";"4327.9";"4302.9";"2015.03.11 20:01:00";"2015.03.11 23:15:00";"20.0";"-500.00";"4302.89990";"4352.89990";"8802.74";"0.00";"IST";"SL";"3h 14m";"-0.00"
"45";"USATECHIDXUSD_ICM";"Buy";"4326.4";"4301.4";"2015.03.12 20:01:00";"2015.03.13 17:59:00";"20.0";"-500.00";"4301.39990";"4351.39990";"8302.74";"0.00";"IST";"SL";"21h 58m";"-0.00"
"46";"USATECHIDXUSD_ICM";"Buy";"4302.0";"4327.0";"2015.03.13 20:01:00";"2015.03.16 12:09:00";"20.0";"500.00";"4277.00000";"4327.00000";"8802.74";"0.00";"IST";"PT";"2d 16h 8m";"-0.00"
"47";"USATECHIDXUSD_ICM";"Buy";"4354.2";"4379.2";"2015.03.16 20:01:00";"2015.03.17 21:02:00";"20.0";"500.00";"4329.20020";"4379.20020";"9302.74";"0.00";"IST";"PT";"1d 1h 1m";"-0.00"
