"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USTEC_ICM_UTC2";"Buy";"4222.2";"4232.6";"2015.01.02 21:30:00";"2015.01.02 22:55:00";"30.0";"312.00";"4022.19995";"4272.20020";"50312.00";"0.00";"IST";"End Of Friday (Time)";"1h 25m";"-0.00"
"2";"USTEC_ICM_UTC2";"Buy";"4159.0";"4209.0";"2015.01.05 21:30:00";"2015.01.08 16:43:00";"30.0";"950.64";"3959.00000";"4209.00000";"51262.64";"0.00";"IST";"PT";"2d 19h 13m";"-549.36"
"3";"USTEC_ICM_UTC2";"Buy";"4247.0";"4216.9";"2015.01.08 21:30:00";"2015.01.09 22:55:00";"30.0";"-1086.12";"4047.00000";"4297.00000";"50176.52";"0.00";"IST";"End Of Friday (Time)";"1d 1h 25m";"-183.12"
"4";"USTEC_ICM_UTC2";"Buy";"4165.9";"4215.9";"2015.01.12 21:30:00";"2015.01.13 16:31:00";"30.0";"1316.88";"3965.89990";"4215.89990";"51493.40";"0.00";"IST";"PT";"19h 1m";"-183.12"
"5";"USTEC_ICM_UTC2";"Buy";"4140.9";"4190.9";"2015.01.14 21:30:00";"2015.01.15 08:05:00";"30.0";"1316.88";"3940.89990";"4190.89990";"52810.28";"0.00";"IST";"PT";"10h 35m";"-183.12"
"6";"USTEC_ICM_UTC2";"Buy";"4101.9";"4141.0";"2015.01.15 21:30:00";"2015.01.16 22:55:00";"30.0";"989.88";"3901.89990";"4151.89990";"53800.16";"0.00";"IST";"End Of Friday (Time)";"1d 1h 25m";"-183.12"
"7";"USTEC_ICM_UTC2";"Buy";"4157.2";"4207.2";"2015.01.20 21:30:00";"2015.01.21 17:54:00";"30.0";"1316.88";"3957.19995";"4207.20020";"55117.04";"0.00";"IST";"PT";"20h 24m";"-183.12"
"8";"USTEC_ICM_UTC2";"Buy";"4181.9";"4231.9";"2015.01.21 21:30:00";"2015.01.22 17:56:00";"30.0";"1316.88";"3981.89990";"4231.89990";"56433.92";"0.00";"IST";"PT";"20h 26m";"-183.12"
"9";"USTEC_ICM_UTC2";"Buy";"4241.1";"4291.1";"2015.01.22 21:30:00";"2015.01.23 20:43:00";"30.0";"1316.88";"4041.10010";"4291.10010";"57750.80";"0.00";"IST";"PT";"23h 13m";"-183.12"
"10";"USTEC_ICM_UTC2";"Buy";"4286.0";"4273.9";"2015.01.23 21:30:00";"2015.01.23 22:55:00";"30.0";"-363.00";"4086.00000";"4336.00000";"57387.80";"0.00";"IST";"End Of Friday (Time)";"1h 25m";"-0.00"
"11";"USTEC_ICM_UTC2";"Buy";"4275.3";"4149.5";"2015.01.26 21:30:00";"2015.01.30 22:55:00";"30.0";"-4506.48";"4075.30005";"4325.29980";"52881.32";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"12";"USTEC_ICM_UTC2";"Buy";"4152.4";"4202.4";"2015.02.02 21:30:00";"2015.02.03 10:45:00";"30.0";"1316.88";"3952.39990";"4202.39990";"54198.20";"0.00";"IST";"PT";"13h 15m";"-183.12"
"13";"USTEC_ICM_UTC2";"Buy";"4201.1";"4251.1";"2015.02.03 21:30:00";"2015.02.05 22:32:00";"30.0";"1133.76";"4001.10010";"4251.10010";"55331.96";"0.00";"IST";"PT";"2d 1h 2m";"-366.24"
"14";"USTEC_ICM_UTC2";"Buy";"4255.3";"4224.7";"2015.02.05 22:45:00";"2015.02.06 22:55:00";"30.0";"-1101.12";"4055.30005";"4305.29980";"54230.84";"0.00";"IST";"End Of Friday (Time)";"1d 0h 10m";"-183.12"
"15";"USTEC_ICM_UTC2";"Buy";"4223.3";"4273.3";"2015.02.09 21:30:00";"2015.02.10 21:35:00";"30.0";"1316.88";"4023.30005";"4273.29980";"55547.72";"0.00";"IST";"PT";"1d 0h 5m";"-183.12"
"16";"USTEC_ICM_UTC2";"Buy";"4276.4";"4326.4";"2015.02.10 21:45:00";"2015.02.12 13:00:00";"30.0";"1133.76";"4076.39990";"4326.39990";"56681.48";"0.00";"IST";"PT";"1d 15h 15m";"-366.24"
"17";"USTEC_ICM_UTC2";"Buy";"4340.7";"4380.5";"2015.02.12 21:30:00";"2015.02.13 22:55:00";"30.0";"1010.88";"4140.70020";"4390.70020";"57692.36";"0.00";"IST";"End Of Friday (Time)";"1d 1h 25m";"-183.12"
"18";"USTEC_ICM_UTC2";"Buy";"4370.6";"4420.6";"2015.02.16 21:34:00";"2015.02.20 12:51:00";"30.0";"767.52";"4170.60010";"4420.60010";"58459.88";"0.00";"IST";"PT";"3d 15h 17m";"-732.48"
"19";"USTEC_ICM_UTC2";"Buy";"4433.0";"4437.8";"2015.02.20 21:30:00";"2015.02.20 22:55:00";"30.0";"144.00";"4233.00000";"4483.00000";"58603.88";"0.00";"IST";"End Of Friday (Time)";"1h 25m";"-0.00"
"20";"USTEC_ICM_UTC2";"Buy";"4446.6";"4437.8";"2015.02.23 21:30:00";"2015.02.27 22:55:00";"30.0";"-996.48";"4246.60010";"4496.60010";"57607.40";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"21";"USTEC_ICM_UTC2";"Buy";"4467.3";"4395.5";"2015.03.02 21:30:00";"2015.03.06 22:55:00";"30.0";"-2886.48";"4267.29980";"4517.29980";"54720.92";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"22";"USTEC_ICM_UTC2";"Buy";"4412.2";"4312.7";"2015.03.09 21:30:00";"2015.03.13 22:55:00";"30.0";"-3717.48";"4212.20020";"4462.20020";"51003.44";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"23";"USTEC_ICM_UTC2";"Buy";"4367.5";"4417.5";"2015.03.16 21:30:00";"2015.03.18 20:33:00";"30.0";"1133.76";"4167.50000";"4417.50000";"52137.20";"0.00";"IST";"PT";"1d 23h 3m";"-366.24"
"24";"USTEC_ICM_UTC2";"Buy";"4421.9";"4471.9";"2015.03.18 22:00:00";"2015.03.20 17:30:00";"30.0";"1133.76";"4221.89990";"4471.89990";"53270.96";"0.00";"IST";"PT";"1d 19h 30m";"-366.24"
"25";"USTEC_ICM_UTC2";"Buy";"4465.0";"4454.6";"2015.03.20 21:30:00";"2015.03.20 22:55:00";"30.0";"-312.00";"4265.00000";"4515.00000";"52958.96";"0.00";"IST";"End Of Friday (Time)";"1h 25m";"-0.00"
"26";"USTEC_ICM_UTC2";"Buy";"4455.5";"4332.9";"2015.03.23 21:30:00";"2015.03.27 22:55:00";"30.0";"-4410.48";"4255.50000";"4505.50000";"48548.48";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"27";"USTEC_ICM_UTC2";"Buy";"4379.0";"4419.7";"2015.03.30 21:30:00";"2015.04.10 22:55:00";"30.0";"-793.32";"4179.00000";"4429.00000";"47755.16";"0.00";"IST";"End Of Friday (Time)";"11d 1h 25m";"-2014.32"
"28";"USTEC_ICM_UTC2";"Buy";"4394.0";"4350.7";"2015.04.14 21:30:00";"2015.04.17 22:55:00";"30.0";"-1848.36";"4194.00000";"4444.00000";"45906.80";"0.00";"IST";"End Of Friday (Time)";"3d 1h 25m";"-549.36"
"29";"USTEC_ICM_UTC2";"Buy";"4413.9";"4463.9";"2015.04.20 21:30:00";"2015.04.22 22:10:00";"30.0";"1133.76";"4213.89990";"4463.89990";"47040.56";"0.00";"IST";"PT";"2d 0h 40m";"-366.24"
"30";"USTEC_ICM_UTC2";"Buy";"4463.6";"4513.6";"2015.04.22 22:15:00";"2015.04.24 10:53:00";"30.0";"1133.76";"4263.60010";"4513.60010";"48174.32";"0.00";"IST";"PT";"1d 12h 38m";"-366.24"
"31";"USTEC_ICM_UTC2";"Buy";"4542.1";"4537.0";"2015.04.24 21:30:00";"2015.04.24 22:55:00";"30.0";"-153.00";"4342.10010";"4592.10010";"48021.32";"0.00";"IST";"End Of Friday (Time)";"1h 25m";"-0.00"
"32";"USTEC_ICM_UTC2";"Buy";"4517.6";"4475.5";"2015.04.28 21:30:00";"2015.05.01 22:55:00";"30.0";"-1812.36";"4317.60010";"4567.60010";"46208.96";"0.00";"IST";"End Of Friday (Time)";"3d 1h 25m";"-549.36"
"33";"USTEC_ICM_UTC2";"Buy";"4492.7";"4461.2";"2015.05.04 21:30:00";"2015.05.08 22:55:00";"30.0";"-1677.48";"4292.70020";"4542.70020";"44531.48";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"34";"USTEC_ICM_UTC2";"Buy";"4450.6";"4502.0";"2015.05.11 21:30:00";"2015.05.15 09:15:00";"30.0";"809.10";"4250.60010";"4500.60010";"45340.58";"0.00";"IST";"PT";"3d 11h 45m";"-732.48"
"35";"USTEC_ICM_UTC2";"Buy";"4487.0";"4490.9";"2015.05.15 21:30:00";"2015.05.15 22:55:00";"30.0";"117.00";"4287.00000";"4537.00000";"45457.58";"0.00";"IST";"End Of Friday (Time)";"1h 25m";"-0.00"
"36";"USTEC_ICM_UTC2";"Buy";"4512.9";"4530.0";"2015.05.18 21:30:00";"2015.05.22 22:55:00";"30.0";"-219.48";"4312.89990";"4562.89990";"45238.10";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"37";"USTEC_ICM_UTC2";"Buy";"4465.0";"4515.0";"2015.05.26 22:15:00";"2015.05.27 16:55:00";"30.0";"1316.88";"4265.00000";"4515.00000";"46554.98";"0.00";"IST";"PT";"18h 40m";"-183.12"
"38";"USTEC_ICM_UTC2";"Buy";"4541.9";"4511.9";"2015.05.27 21:30:00";"2015.05.29 22:55:00";"30.0";"-1266.24";"4341.89990";"4591.89990";"45288.74";"0.00";"IST";"End Of Friday (Time)";"2d 1h 25m";"-366.24"
"39";"USTEC_ICM_UTC2";"Buy";"4536.0";"4477.9";"2015.06.01 21:30:00";"2015.06.05 22:55:00";"30.0";"-2475.48";"4336.00000";"4586.00000";"42813.26";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"40";"USTEC_ICM_UTC2";"Buy";"4434.9";"4484.9";"2015.06.09 21:30:00";"2015.06.10 18:13:00";"30.0";"1316.88";"4234.89990";"4484.89990";"44130.14";"0.00";"IST";"PT";"20h 43m";"-183.12"
"41";"USTEC_ICM_UTC2";"Buy";"4497.0";"4455.0";"2015.06.10 21:30:00";"2015.06.12 22:55:00";"30.0";"-1626.24";"4297.00000";"4547.00000";"42503.90";"0.00";"IST";"End Of Friday (Time)";"2d 1h 25m";"-366.24"
"42";"USTEC_ICM_UTC2";"Buy";"4434.9";"4484.9";"2015.06.15 21:30:00";"2015.06.18 16:29:00";"30.0";"950.64";"4234.89990";"4484.89990";"43454.54";"0.00";"IST";"PT";"2d 18h 59m";"-549.36"
"43";"USTEC_ICM_UTC2";"Buy";"4526.9";"4517.5";"2015.06.18 21:30:00";"2015.06.19 22:55:00";"30.0";"-465.12";"4326.89990";"4576.89990";"42989.42";"0.00";"IST";"End Of Friday (Time)";"1d 1h 25m";"-183.12"
"44";"USTEC_ICM_UTC2";"Buy";"4541.0";"4483.9";"2015.06.22 21:30:00";"2015.06.26 22:55:00";"30.0";"-2445.48";"4341.00000";"4591.00000";"40543.94";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"45";"USTEC_ICM_UTC2";"Buy";"4397.0";"4447.0";"2015.06.29 21:30:00";"2015.07.01 12:11:00";"30.0";"1133.76";"4197.00000";"4447.00000";"41677.70";"0.00";"IST";"PT";"1d 14h 41m";"-366.24"
"46";"USTEC_ICM_UTC2";"Buy";"4415.0";"4427.5";"2015.07.01 21:30:00";"2015.07.10 22:55:00";"30.0";"-1273.08";"4215.00000";"4465.00000";"40404.62";"0.00";"IST";"End Of Friday (Time)";"9d 1h 25m";"-1648.08"
"47";"USTEC_ICM_UTC2";"Buy";"4487.0";"4537.0";"2015.07.13 21:30:00";"2015.07.14 22:04:00";"30.0";"1316.88";"4287.00000";"4537.00000";"41721.50";"0.00";"IST";"PT";"1d 0h 34m";"-183.12"
"48";"USTEC_ICM_UTC2";"Buy";"4535.0";"4585.0";"2015.07.14 22:15:00";"2015.07.16 19:26:00";"30.0";"1133.76";"4335.00000";"4585.00000";"42855.26";"0.00";"IST";"PT";"1d 21h 11m";"-366.24"
"49";"USTEC_ICM_UTC2";"Buy";"4582.0";"4632.0";"2015.07.16 21:30:00";"2015.07.17 15:10:00";"30.0";"1316.88";"4382.00000";"4632.00000";"44172.14";"0.00";"IST";"PT";"17h 40m";"-183.12"
"50";"USTEC_ICM_UTC2";"Buy";"4651.0";"4657.9";"2015.07.17 21:30:00";"2015.07.17 22:55:00";"30.0";"207.00";"4451.00000";"4701.00000";"44379.14";"0.00";"IST";"End Of Friday (Time)";"1h 25m";"-0.00"
"51";"USTEC_ICM_UTC2";"Buy";"4689.8";"4562.0";"2015.07.20 21:30:00";"2015.07.24 22:55:00";"30.0";"-4566.48";"4489.79980";"4739.79980";"39812.66";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"52";"USTEC_ICM_UTC2";"Buy";"4525.9";"4575.9";"2015.07.27 21:30:00";"2015.07.29 10:29:00";"30.0";"1133.76";"4325.89990";"4575.89990";"40946.42";"0.00";"IST";"PT";"1d 12h 59m";"-366.24"
"53";"USTEC_ICM_UTC2";"Buy";"4570.3";"4590.5";"2015.07.29 21:30:00";"2015.07.31 22:55:00";"30.0";"239.76";"4370.29980";"4620.29980";"41186.18";"0.00";"IST";"End Of Friday (Time)";"2d 1h 25m";"-366.24"
"54";"USTEC_ICM_UTC2";"Buy";"4575.9";"4625.9";"2015.08.03 22:45:00";"2015.08.05 17:27:00";"30.0";"1133.76";"4375.89990";"4625.89990";"42319.94";"0.00";"IST";"PT";"1d 18h 42m";"-366.24"
"55";"USTEC_ICM_UTC2";"Buy";"4607.0";"4517.3";"2015.08.05 21:30:00";"2015.08.07 22:55:00";"30.0";"-3057.24";"4407.00000";"4657.00000";"39262.70";"0.00";"IST";"End Of Friday (Time)";"2d 1h 25m";"-366.24"
"56";"USTEC_ICM_UTC2";"Buy";"4579.9";"4530.9";"2015.08.10 21:30:00";"2015.08.14 22:55:00";"30.0";"-2202.48";"4379.89990";"4629.89990";"37060.22";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"57";"USTEC_ICM_UTC2";"Buy";"4562.0";"4339.0";"2015.08.17 21:30:00";"2015.08.21 09:00:00";"30.0";"-7422.84";"4362.00000";"4612.00000";"29637.38";"0.00";"IST";"SL";"3d 11h 30m";"-732.48"
"58";"USTEC_ICM_UTC2";"Buy";"4221.0";"4210.9";"2015.08.21 22:15:00";"2015.08.21 22:55:00";"30.0";"-303.00";"4021.00000";"4271.00000";"29334.38";"0.00";"IST";"End Of Friday (Time)";"40m 0s";"-0.00"
"59";"USTEC_ICM_UTC2";"Buy";"4098.4";"4148.4";"2015.08.24 21:30:00";"2015.08.25 11:25:00";"30.0";"1316.88";"3898.39990";"4148.39990";"30651.26";"0.00";"IST";"PT";"13h 55m";"-183.12"
"60";"USTEC_ICM_UTC2";"Buy";"4141.5";"4191.5";"2015.08.25 21:30:00";"2015.08.26 22:11:00";"30.0";"1316.88";"3941.50000";"4191.50000";"31968.14";"0.00";"IST";"PT";"1d 0h 41m";"-183.12"
"61";"USTEC_ICM_UTC2";"Buy";"4189.0";"4239.0";"2015.08.26 22:15:00";"2015.08.27 09:43:00";"30.0";"1316.88";"3989.00000";"4239.00000";"33285.02";"0.00";"IST";"PT";"11h 28m";"-183.12"
"62";"USTEC_ICM_UTC2";"Buy";"4280.0";"4330.0";"2015.08.27 21:30:00";"2015.08.28 09:10:00";"30.0";"1316.88";"4080.00000";"4330.00000";"34601.90";"0.00";"IST";"PT";"11h 40m";"-183.12"
"63";"USTEC_ICM_UTC2";"Buy";"4314.0";"4321.0";"2015.08.28 21:30:00";"2015.08.28 22:55:00";"30.0";"210.00";"4114.00000";"4364.00000";"34811.90";"0.00";"IST";"End Of Friday (Time)";"1h 25m";"-0.00"
"64";"USTEC_ICM_UTC2";"Buy";"4285.0";"4196.0";"2015.08.31 21:30:00";"2015.09.04 22:55:00";"30.0";"-3402.48";"4085.00000";"4335.00000";"31409.42";"0.00";"IST";"End Of Friday (Time)";"4d 1h 25m";"-732.48"
"65";"USTEC_ICM_UTC2";"Buy";"4283.4";"4346.4";"2015.09.08 21:30:00";"2015.09.09 09:00:00";"30.0";"1707.69";"4083.39990";"4333.39990";"33117.11";"0.00";"IST";"PT";"11h 30m";"-183.12"
"66";"USTEC_ICM_UTC2";"Buy";"4295.4";"4313.9";"2015.09.09 21:30:00";"2015.09.11 22:55:00";"30.0";"188.76";"4095.39990";"4345.39990";"33305.87";"0.00";"IST";"End Of Friday (Time)";"2d 1h 25m";"-366.24"
"67";"USTEC_ICM_UTC2";"Buy";"4306.0";"4356.0";"2015.09.14 21:30:00";"2015.09.15 20:26:00";"30.0";"1316.88";"4106.00000";"4356.00000";"34622.75";"0.00";"IST";"PT";"22h 56m";"-183.12"
"68";"USTEC_ICM_UTC2";"Buy";"4363.0";"4413.0";"2015.09.15 21:30:00";"2015.09.17 21:00:00";"30.0";"1133.76";"4163.00000";"4413.00000";"35756.51";"0.00";"IST";"PT";"1d 23h 30m";"-366.24"
"69";"USTEC_ICM_UTC2";"Buy";"4398.7";"4448.7";"2015.09.17 21:30:00";"2015.09.17 21:48:00";"30.0";"1500.00";"4198.70020";"4448.70020";"37256.51";"0.00";"IST";"PT";"18m 0s";"-0.00"
"70";"USTEC_ICM_UTC2";"Buy";"4342.3";"4325.2";"2015.09.18 21:30:00";"2015.09.18 22:55:00";"30.0";"-513.00";"4142.29980";"4392.29980";"36743.51";"0.00";"IST";"End Of Friday (Time)";"1h 25m";"-0.00"
"71";"USTEC_ICM_UTC2";"Buy";"4339.9";"4225.1";"2015.09.21 22:30:00";"2015.09.25 22:55:00";"30.0";"-4176.48";"4139.89990";"4389.89990";"32567.03";"0.00";"IST";"End Of Friday (Time)";"4d 0h 25m";"-732.48"
"72";"USTEC_ICM_UTC2";"Buy";"4107.3";"4157.3";"2015.09.29 21:30:00";"2015.09.30 16:36:00";"30.0";"1316.88";"3907.30005";"4157.29980";"33883.91";"0.00";"IST";"PT";"19h 6m";"-183.12"
"73";"USTEC_ICM_UTC2";"Buy";"4165.0";"4219.0";"2015.09.30 21:30:00";"2015.10.01 09:00:00";"30.0";"1435.47";"3965.00000";"4215.00000";"35319.38";"0.00";"IST";"PT";"11h 30m";"-183.12"
