"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USTEC_ICM_UTC2";"Buy";"4158.7";"4241.2";"2015.01.07 19:00:00";"2015.01.08 18:00:00";"30.0";"2291.88";"4076.19995";"4241.20020";"52291.88";"0.00";"IST";"PT";"23h 0m";"-183.12"
"2";"USTEC_ICM_UTC2";"Buy";"4229.0";"4212.0";"2015.01.08 19:15:00";"2015.01.09 23:00:00";"30.0";"-693.12";"4146.50000";"4311.50000";"51598.76";"0.00";"IST";"End Of Friday (Time)";"1d 3h 45m";"-183.12"
"3";"USTEC_ICM_UTC2";"Buy";"4188.9";"4106.4";"2015.01.12 18:00:00";"2015.01.15 11:45:00";"30.0";"-3024.36";"4106.39990";"4271.39990";"48574.40";"0.00";"IST";"SL";"2d 17h 45m";"-549.36"
"4";"USTEC_ICM_UTC2";"Buy";"4120.5";"4138.1";"2015.01.16 22:15:00";"2015.01.16 23:00:00";"30.0";"528.00";"4038.00000";"4203.00000";"49102.40";"0.00";"IST";"End Of Friday (Time)";"45m 0s";"-0.00"
"5";"USTEC_ICM_UTC2";"Buy";"4145.1";"4227.6";"2015.01.20 17:30:00";"2015.01.22 17:45:00";"30.0";"2108.76";"4062.60010";"4227.60010";"51211.16";"0.00";"IST";"PT";"2d 0h 15m";"-366.24"
"6";"USTEC_ICM_UTC2";"Buy";"4234.8";"4278.0";"2015.01.22 18:00:00";"2015.01.23 23:00:00";"30.0";"1112.88";"4152.29980";"4317.29980";"52324.04";"0.00";"IST";"End Of Friday (Time)";"1d 5h 0m";"-183.12"
"7";"USTEC_ICM_UTC2";"Buy";"4264.9";"4182.4";"2015.01.26 17:15:00";"2015.01.27 16:45:00";"30.0";"-2658.12";"4182.39990";"4347.39990";"49665.92";"0.00";"IST";"SL";"23h 30m";"-183.12"
"8";"USTEC_ICM_UTC2";"Buy";"4111.9";"4194.4";"2015.01.29 17:45:00";"2015.01.29 23:30:00";"30.0";"2475.00";"4029.39990";"4194.39990";"52140.92";"0.00";"IST";"PT";"5h 45m";"-0.00"
"9";"USTEC_ICM_UTC2";"Buy";"4170.3";"4149.5";"2015.01.30 18:15:00";"2015.01.30 23:00:00";"30.0";"-624.00";"4087.80005";"4252.79980";"51516.92";"0.00";"IST";"End Of Friday (Time)";"4h 45m";"-0.00"
"10";"USTEC_ICM_UTC2";"Buy";"4125.1";"4207.6";"2015.02.02 18:00:00";"2015.02.03 13:30:00";"30.0";"2291.88";"4042.60010";"4207.60010";"53808.80";"0.00";"IST";"PT";"19h 30m";"-183.12"
"11";"USTEC_ICM_UTC2";"Buy";"4213.1";"4227.5";"2015.02.04 18:00:00";"2015.02.06 23:00:00";"30.0";"65.76";"4130.60010";"4295.60010";"53874.56";"0.00";"IST";"End Of Friday (Time)";"2d 5h 0m";"-366.24"
"12";"USTEC_ICM_UTC2";"Buy";"4227.2";"4309.7";"2015.02.09 18:30:00";"2015.02.11 23:30:00";"30.0";"2108.76";"4144.70020";"4309.70020";"55983.32";"0.00";"IST";"PT";"2d 5h 0m";"-366.24"
"13";"USTEC_ICM_UTC2";"Buy";"4331.6";"4382.9";"2015.02.12 17:15:00";"2015.02.13 23:00:00";"30.0";"1355.88";"4249.10010";"4414.10010";"57339.20";"0.00";"IST";"End Of Friday (Time)";"1d 5h 45m";"-183.12"
"14";"USTEC_ICM_UTC2";"Buy";"4385.0";"4441.9";"2015.02.16 17:15:00";"2015.02.20 23:00:00";"30.0";"974.52";"4302.50000";"4467.50000";"58313.72";"0.00";"IST";"End Of Friday (Time)";"4d 5h 45m";"-732.48"
"15";"USTEC_ICM_UTC2";"Buy";"4440.9";"4442.1";"2015.02.23 16:30:00";"2015.02.27 23:00:00";"30.0";"-696.48";"4358.39990";"4523.39990";"57617.24";"0.00";"IST";"End Of Friday (Time)";"4d 6h 30m";"-732.48"
"16";"USTEC_ICM_UTC2";"Buy";"4469.1";"4399.2";"2015.03.02 21:00:00";"2015.03.06 23:00:00";"30.0";"-2829.48";"4386.60010";"4551.60010";"54787.76";"0.00";"IST";"End Of Friday (Time)";"4d 2h 0m";"-732.48"
"17";"USTEC_ICM_UTC2";"Buy";"4403.2";"4320.7";"2015.03.09 18:45:00";"2015.03.11 16:30:00";"30.0";"-2841.24";"4320.70020";"4485.70020";"51946.52";"0.00";"IST";"SL";"1d 21h 45m";"-366.24"
"18";"USTEC_ICM_UTC2";"Buy";"4327.4";"4409.9";"2015.03.11 19:00:00";"2015.03.18 20:15:00";"30.0";"1193.16";"4244.89990";"4409.89990";"53139.68";"0.00";"IST";"PT";"7d 1h 15m";"-1281.84"
"19";"USTEC_ICM_UTC2";"Buy";"4430.1";"4347.6";"2015.03.19 17:15:00";"2015.03.25 21:00:00";"30.0";"-3573.72";"4347.60010";"4512.60010";"49565.96";"0.00";"IST";"SL";"6d 3h 45m";"-1098.72"
"20";"USTEC_ICM_UTC2";"Buy";"4326.0";"4408.5";"2015.03.27 16:45:00";"2015.04.10 13:45:00";"30.0";"-88.68";"4243.50000";"4408.50000";"49477.28";"0.00";"IST";"PT";"13d 21h 0m";"-2563.68"
"21";"USTEC_ICM_UTC2";"Buy";"4405.8";"4422.1";"2015.04.10 17:15:00";"2015.04.10 23:00:00";"30.0";"489.00";"4323.29980";"4488.29980";"49966.28";"0.00";"IST";"End Of Friday (Time)";"5h 45m";"-0.00"
"22";"USTEC_ICM_UTC2";"Buy";"4439.0";"4356.5";"2015.04.13 19:00:00";"2015.04.17 17:00:00";"30.0";"-3207.48";"4356.50000";"4521.50000";"46758.80";"0.00";"IST";"SL";"3d 22h 0m";"-732.48"
"23";"USTEC_ICM_UTC2";"Buy";"4360.2";"4351.0";"2015.04.17 17:45:00";"2015.04.17 23:00:00";"30.0";"-276.00";"4277.70020";"4442.70020";"46482.80";"0.00";"IST";"End Of Friday (Time)";"5h 15m";"-0.00"
"24";"USTEC_ICM_UTC2";"Buy";"4399.0";"4481.5";"2015.04.20 17:00:00";"2015.04.23 19:30:00";"30.0";"1925.64";"4316.50000";"4481.50000";"48408.44";"0.00";"IST";"PT";"3d 2h 30m";"-549.36"
"25";"USTEC_ICM_UTC2";"Buy";"4508.4";"4425.9";"2015.04.28 17:45:00";"2015.04.30 21:15:00";"30.0";"-2841.24";"4425.89990";"4590.89990";"45567.20";"0.00";"IST";"SL";"2d 3h 30m";"-366.24"
"26";"USTEC_ICM_UTC2";"Buy";"4473.5";"4475.9";"2015.05.01 21:45:00";"2015.05.01 23:00:00";"30.0";"72.00";"4391.00000";"4556.00000";"45639.20";"0.00";"IST";"End Of Friday (Time)";"1h 15m";"-0.00"
"27";"USTEC_ICM_UTC2";"Buy";"4455.9";"4456.0";"2015.05.08 22:30:00";"2015.05.08 23:00:00";"30.0";"3.00";"4373.39990";"4538.39990";"45642.20";"0.00";"IST";"End Of Friday (Time)";"30m 0s";"-0.00"
"28";"USTEC_ICM_UTC2";"Buy";"4459.8";"4492.0";"2015.05.11 17:00:00";"2015.05.15 23:00:00";"30.0";"233.52";"4377.29980";"4542.29980";"45875.72";"0.00";"IST";"End Of Friday (Time)";"4d 6h 0m";"-732.48"
"29";"USTEC_ICM_UTC2";"Buy";"4504.0";"4510.0";"2015.05.20 18:30:00";"2015.05.29 23:00:00";"30.0";"-1468.08";"4421.50000";"4586.50000";"44407.64";"0.00";"IST";"End Of Friday (Time)";"9d 4h 30m";"-1648.08"
"30";"USTEC_ICM_UTC2";"Buy";"4498.0";"4415.5";"2015.06.01 17:45:00";"2015.06.09 12:15:00";"30.0";"-3939.96";"4415.50000";"4580.50000";"40467.68";"0.00";"IST";"SL";"7d 18h 30m";"-1464.96"
"31";"USTEC_ICM_UTC2";"Buy";"4416.9";"4499.4";"2015.06.09 18:00:00";"2015.06.11 16:15:00";"30.0";"2108.76";"4334.39990";"4499.39990";"42576.44";"0.00";"IST";"PT";"1d 22h 15m";"-366.24"
"32";"USTEC_ICM_UTC2";"Buy";"4510.0";"4452.9";"2015.06.11 17:00:00";"2015.06.12 23:00:00";"30.0";"-1896.12";"4427.50000";"4592.50000";"40680.32";"0.00";"IST";"End Of Friday (Time)";"1d 6h 0m";"-183.12"
"33";"USTEC_ICM_UTC2";"Buy";"4429.0";"4511.5";"2015.06.15 22:30:00";"2015.06.18 17:00:00";"30.0";"1925.64";"4346.50000";"4511.50000";"42605.96";"0.00";"IST";"PT";"2d 18h 30m";"-549.36"
"34";"USTEC_ICM_UTC2";"Buy";"4531.9";"4504.6";"2015.06.18 20:00:00";"2015.06.19 23:00:00";"30.0";"-1002.12";"4449.39990";"4614.39990";"41603.84";"0.00";"IST";"End Of Friday (Time)";"1d 3h 0m";"-183.12"
"35";"USTEC_ICM_UTC2";"Buy";"4551.0";"4468.5";"2015.06.22 17:15:00";"2015.06.26 20:00:00";"30.0";"-3207.48";"4468.50000";"4633.50000";"38396.36";"0.00";"IST";"SL";"4d 2h 45m";"-732.48"
"36";"USTEC_ICM_UTC2";"Buy";"4443.0";"4360.5";"2015.07.02 16:45:00";"2015.07.07 17:30:00";"30.0";"-3390.60";"4360.50000";"4525.50000";"35005.76";"0.00";"IST";"SL";"5d 0h 45m";"-915.60"
"37";"USTEC_ICM_UTC2";"Buy";"4371.0";"4419.8";"2015.07.08 18:30:00";"2015.07.10 23:00:00";"30.0";"1097.76";"4288.50000";"4453.50000";"36103.52";"0.00";"IST";"End Of Friday (Time)";"2d 4h 30m";"-366.24"
"38";"USTEC_ICM_UTC2";"Buy";"4475.5";"4558.0";"2015.07.13 17:00:00";"2015.07.16 09:00:00";"30.0";"1925.64";"4393.00000";"4558.00000";"38029.16";"0.00";"IST";"PT";"2d 16h 0m";"-549.36"
"39";"USTEC_ICM_UTC2";"Buy";"4689.9";"4607.4";"2015.07.20 21:45:00";"2015.07.22 15:30:00";"30.0";"-2841.24";"4607.39990";"4772.39990";"35187.92";"0.00";"IST";"SL";"1d 17h 45m";"-366.24"
"40";"USTEC_ICM_UTC2";"Buy";"4617.0";"4560.0";"2015.07.22 22:45:00";"2015.07.24 23:00:00";"30.0";"-2076.24";"4534.50000";"4699.50000";"33111.68";"0.00";"IST";"End Of Friday (Time)";"2d 0h 15m";"-366.24"
"41";"USTEC_ICM_UTC2";"Buy";"4528.4";"4610.9";"2015.07.27 19:45:00";"2015.07.31 15:30:00";"30.0";"1742.52";"4445.89990";"4610.89990";"34854.20";"0.00";"IST";"PT";"3d 19h 45m";"-732.48"
"42";"USTEC_ICM_UTC2";"Buy";"4606.8";"4594.5";"2015.07.31 19:00:00";"2015.07.31 23:00:00";"30.0";"-369.00";"4524.29980";"4689.29980";"34485.20";"0.00";"IST";"End Of Friday (Time)";"4h 0m";"-0.00"
"43";"USTEC_ICM_UTC2";"Buy";"4621.1";"4538.6";"2015.08.05 17:00:00";"2015.08.06 18:00:00";"30.0";"-2658.12";"4538.60010";"4703.60010";"31827.08";"0.00";"IST";"SL";"1d 1h 0m";"-183.12"
"44";"USTEC_ICM_UTC2";"Buy";"4507.6";"4521.2";"2015.08.07 18:00:00";"2015.08.07 23:00:00";"30.0";"408.00";"4425.10010";"4590.10010";"32235.08";"0.00";"IST";"End Of Friday (Time)";"5h 0m";"-0.00"
"45";"USTEC_ICM_UTC2";"Buy";"4553.7";"4471.2";"2015.08.11 17:45:00";"2015.08.12 10:30:00";"30.0";"-2658.12";"4471.20020";"4636.20020";"29576.96";"0.00";"IST";"SL";"16h 45m";"-183.12"
"46";"USTEC_ICM_UTC2";"Buy";"4543.0";"4529.7";"2015.08.13 22:15:00";"2015.08.14 23:00:00";"30.0";"-582.12";"4460.50000";"4625.50000";"28994.84";"0.00";"IST";"End Of Friday (Time)";"1d 0h 45m";"-183.12"
"47";"USTEC_ICM_UTC2";"Buy";"4562.0";"4479.5";"2015.08.17 21:30:00";"2015.08.20 11:45:00";"30.0";"-3024.36";"4479.50000";"4644.50000";"25970.48";"0.00";"IST";"SL";"2d 14h 15m";"-549.36"
"48";"USTEC_ICM_UTC2";"Buy";"4437.3";"4339.0";"2015.08.20 18:00:00";"2015.08.21 09:00:00";"30.0";"-3132.48";"4354.79980";"4519.79980";"22838.00";"0.00";"IST";"SL";"15h 0m";"-183.12"
"49";"USTEC_ICM_UTC2";"Buy";"4178.3";"4095.8";"2015.08.25 16:30:00";"2015.08.25 22:30:00";"30.0";"-2475.00";"4095.80005";"4260.79980";"20363.00";"0.00";"IST";"SL";"6h 0m";"-0.00"
