"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"USTEC_ICM_UTC2";"Buy";"4426.0";"4343.5";"2015.03.18 21:45:00";"2015.03.25 21:15:00";"30.0";"-3756.84";"4343.50000";"4508.50000";"46243.16";"0.00";"IST";"SL";"6d 23h 30m";"-1281.84"
"2";"USTEC_ICM_UTC2";"Buy";"4107.5";"4190.0";"2015.08.24 18:00:00";"2015.08.24 19:00:00";"30.0";"2475.00";"4025.00000";"4190.00000";"48718.16";"0.00";"IST";"PT";"1h 0m";"-0.00"
"3";"USTEC_ICM_UTC2";"Buy";"4186.0";"4268.5";"2015.08.26 22:30:00";"2015.08.27 10:45:00";"30.0";"2291.88";"4103.50000";"4268.50000";"51010.04";"0.00";"IST";"PT";"12h 15m";"-183.12"
"4";"USTEC_ICM_UTC2";"Buy";"4402.3";"4319.8";"2015.09.17 22:30:00";"2015.09.18 16:00:00";"30.0";"-2658.12";"4319.79980";"4484.79980";"48351.92";"0.00";"IST";"SL";"17h 30m";"-183.12"
"5";"USTEC_ICM_UTC2";"Buy";"4230.8";"4148.3";"2016.01.14 18:15:00";"2016.01.15 15:45:00";"30.0";"-2658.12";"4148.29980";"4313.29980";"45693.80";"0.00";"IST";"SL";"21h 30m";"-183.12"
"6";"USTEC_ICM_UTC2";"Buy";"4086.4";"4168.9";"2016.01.20 21:30:00";"2016.01.20 22:15:00";"30.0";"2475.00";"4003.89990";"4168.89990";"48168.80";"0.00";"IST";"PT";"45m 0s";"-0.00"
"7";"USTEC_ICM_UTC2";"Buy";"3973.6";"3891.1";"2016.02.09 17:30:00";"2016.02.11 10:30:00";"30.0";"-2841.24";"3891.10010";"4056.10010";"45327.56";"0.00";"IST";"SL";"1d 17h 0m";"-366.24"
"8";"USTEC_ICM_UTC2";"Buy";"3932.0";"4014.5";"2016.02.11 17:30:00";"2016.02.12 13:45:00";"30.0";"2291.88";"3849.50000";"4014.50000";"47619.44";"0.00";"IST";"PT";"20h 15m";"-183.12"
"9";"USTEC_ICM_UTC2";"Buy";"4770.7";"4854.5";"2016.11.09 17:15:00";"2016.11.10 09:00:00";"30.0";"2330.04";"4688.20020";"4853.20020";"49949.48";"0.00";"IST";"PT";"15h 45m";"-183.12"
"10";"USTEC_ICM_UTC2";"Buy";"4757.9";"4807.7";"2016.11.15 17:45:00";"2016.11.18 23:00:00";"30.0";"944.64";"4675.39990";"4840.39990";"50894.12";"0.00";"IST";"End Of Friday (Time)";"3d 5h 15m";"-549.36"
"11";"USTEC_ICM_UTC2";"Buy";"5629.6";"5649.1";"2017.05.18 17:45:00";"2017.05.19 23:00:00";"30.0";"401.88";"5547.10010";"5712.10010";"51296.00";"0.00";"IST";"End Of Friday (Time)";"1d 5h 15m";"-183.12"
"12";"USTEC_ICM_UTC2";"Buy";"6793.5";"6711.0";"2018.02.05 17:45:00";"2018.02.05 20:00:00";"30.0";"-2475.00";"6711.00000";"6876.00000";"48821.00";"0.00";"IST";"SL";"2h 15m";"-0.00"
"13";"USTEC_ICM_UTC2";"Buy";"6525.1";"6442.6";"2018.02.06 17:15:00";"2018.02.06 17:30:00";"30.0";"-2475.00";"6442.60010";"6607.60010";"46346.00";"0.00";"IST";"SL";"15m 0s";"-0.00"
"14";"USTEC_ICM_UTC2";"Buy";"6701.2";"6618.7";"2018.02.07 18:45:00";"2018.02.07 20:00:00";"30.0";"-2475.00";"6618.70020";"6783.70020";"43871.00";"0.00";"IST";"SL";"1h 15m";"-0.00"
"15";"USTEC_ICM_UTC2";"Buy";"6360.3";"6277.8";"2018.02.09 17:15:00";"2018.02.09 19:00:00";"30.0";"-2475.00";"6277.79980";"6442.79980";"41396.00";"0.00";"IST";"SL";"1h 45m";"-0.00"
"16";"USTEC_ICM_UTC2";"Buy";"6603.5";"6716.9";"2018.02.14 18:00:00";"2018.02.15 09:00:00";"30.0";"3217.65";"6521.00000";"6686.00000";"44613.65";"0.00";"IST";"PT";"15h 0m";"-183.12"
"17";"USTEC_ICM_UTC2";"Buy";"6788.7";"6871.2";"2018.02.20 18:00:00";"2018.02.21 21:00:00";"30.0";"2291.88";"6706.20020";"6871.20020";"46905.53";"0.00";"IST";"PT";"1d 3h 0m";"-183.12"
"18";"USTEC_ICM_UTC2";"Buy";"6763.5";"6846.0";"2018.03.02 19:30:00";"2018.03.05 18:30:00";"30.0";"1925.64";"6681.00000";"6846.00000";"48831.17";"0.00";"IST";"PT";"2d 23h 0m";"-549.36"
