"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"XAUUSD_M1_dukas_UTC2";"Buy";"1313.13";"1320.26";"2018.01.02 15:30:00";"2018.01.05 22:55:00";"1.0";"548.80";"1298.13000";"1328.13000";"50548.80";"0.00";"IST";"End Of Friday (Time)";"3d 7h 25m";"-164.20"
"2";"XAUUSD_M1_dukas_UTC2";"Buy";"1319.99";"1334.99";"2018.01.08 15:30:00";"2018.01.12 20:31:00";"1.0";"1302.96";"1304.98999";"1334.98999";"51851.76";"0.00";"IST";"PT";"4d 5h 1m";"-197.04"
"3";"XAUUSD_M1_dukas_UTC2";"Buy";"1335.54";"1338.89";"2018.01.12 20:45:00";"2018.01.12 22:55:00";"1.0";"335.00";"1320.54004";"1350.54004";"52186.76";"0.00";"IST";"End Of Friday (Time)";"2h 10m";"-0.00"
"4";"XAUUSD_M1_dukas_UTC2";"Buy";"1341.88";"1326.88";"2018.01.15 15:30:00";"2018.01.17 22:00:00";"1.0";"-1565.68";"1326.88000";"1356.88000";"50621.08";"0.00";"IST";"SL";"2d 6h 30m";"-65.68"
"5";"XAUUSD_M1_dukas_UTC2";"Buy";"1334.20";"1332.82";"2018.01.19 17:00:00";"2018.01.19 22:55:00";"1.0";"-138.00";"1319.19995";"1349.19995";"50483.08";"0.00";"IST";"End Of Friday (Time)";"5h 55m";"-0.00"
"6";"XAUUSD_M1_dukas_UTC2";"Buy";"1332.99";"1347.99";"2018.01.22 15:30:00";"2018.01.24 10:48:00";"1.0";"1434.32";"1317.98999";"1347.98999";"51917.40";"0.00";"IST";"PT";"1d 19h 18m";"-65.68"
"7";"XAUUSD_M1_dukas_UTC2";"Buy";"1360.25";"1345.25";"2018.01.25 15:30:00";"2018.01.25 21:40:00";"1.0";"-1500.00";"1345.25000";"1375.25000";"50417.40";"0.00";"IST";"SL";"6h 10m";"-0.00"
"8";"XAUUSD_M1_dukas_UTC2";"Buy";"1352.30";"1349.47";"2018.01.26 16:45:00";"2018.01.26 22:55:00";"1.0";"-283.01";"1337.30005";"1367.30005";"50134.39";"0.00";"IST";"End Of Friday (Time)";"6h 10m";"-0.00"
"9";"XAUUSD_M1_dukas_UTC2";"Buy";"1344.93";"1329.93";"2018.01.29 15:30:00";"2018.02.02 17:06:00";"1.0";"-1697.04";"1329.93005";"1359.93005";"48437.35";"0.00";"IST";"SL";"4d 1h 36m";"-197.04"
"10";"XAUUSD_M1_dukas_UTC2";"Buy";"1330.54";"1329.88";"2018.02.02 18:15:00";"2018.02.02 22:55:00";"1.0";"-66.00";"1315.54004";"1345.54004";"48371.35";"0.00";"IST";"End Of Friday (Time)";"4h 40m";"-0.00"
"11";"XAUUSD_M1_dukas_UTC2";"Buy";"1335.26";"1320.26";"2018.02.06 16:15:00";"2018.02.06 22:29:00";"1.0";"-1500.00";"1320.26001";"1350.26001";"46871.35";"0.00";"IST";"SL";"6h 14m";"-0.00"
"12";"XAUUSD_M1_dukas_UTC2";"Buy";"1323.98";"1308.98";"2018.02.07 16:45:00";"2018.02.08 14:21:00";"1.0";"-1598.52";"1308.97998";"1338.97998";"45272.83";"0.00";"IST";"SL";"21h 36m";"-98.52"
"13";"XAUUSD_M1_dukas_UTC2";"Buy";"1315.76";"1313.06";"2018.02.09 15:30:00";"2018.02.09 22:55:00";"1.0";"-270.00";"1300.76001";"1330.76001";"45002.83";"0.00";"IST";"End Of Friday (Time)";"7h 25m";"-0.00"
"14";"XAUUSD_M1_dukas_UTC2";"Buy";"1319.31";"1334.31";"2018.02.12 16:00:00";"2018.02.14 04:52:00";"1.0";"1434.32";"1304.31006";"1334.31006";"46437.15";"0.00";"IST";"PT";"1d 12h 52m";"-65.68"
"15";"XAUUSD_M1_dukas_UTC2";"Buy";"1329.29";"1344.29";"2018.02.14 16:15:00";"2018.02.14 17:20:00";"1.0";"1500.00";"1314.29004";"1344.29004";"47937.15";"0.00";"IST";"PT";"1h 5m";"-0.00"
"16";"XAUUSD_M1_dukas_UTC2";"Buy";"1351.26";"1348.64";"2018.02.15 15:30:00";"2018.02.16 22:55:00";"1.0";"-294.84";"1336.26001";"1366.26001";"47642.31";"0.00";"IST";"End Of Friday (Time)";"1d 7h 25m";"-32.84"
"17";"XAUUSD_M1_dukas_UTC2";"Buy";"1339.34";"1324.34";"2018.02.20 15:45:00";"2018.02.21 22:01:00";"1.0";"-1532.84";"1324.33997";"1354.33997";"46109.47";"0.00";"IST";"SL";"1d 6h 16m";"-32.84"
"18";"XAUUSD_M1_dukas_UTC2";"Buy";"1328.83";"1329.20";"2018.02.23 15:30:00";"2018.02.23 22:55:00";"1.0";"37.00";"1313.82996";"1343.82996";"46146.47";"0.00";"IST";"End Of Friday (Time)";"7h 25m";"-0.00"
"19";"XAUUSD_M1_dukas_UTC2";"Buy";"1333.94";"1318.94";"2018.02.26 17:00:00";"2018.02.27 17:47:00";"1.0";"-1532.84";"1318.93994";"1348.93994";"44613.63";"0.00";"IST";"SL";"1d 0h 47m";"-32.84"
"20";"XAUUSD_M1_dukas_UTC2";"Buy";"1317.54";"1321.70";"2018.02.27 20:30:00";"2018.03.02 22:55:00";"1.0";"251.79";"1302.54004";"1332.54004";"44865.42";"0.00";"IST";"End Of Friday (Time)";"3d 2h 25m";"-164.20"
"21";"XAUUSD_M1_dukas_UTC2";"Buy";"1322.67";"1337.67";"2018.03.05 17:30:00";"2018.03.06 18:07:00";"1.0";"1467.16";"1307.67004";"1337.67004";"46332.58";"0.00";"IST";"PT";"1d 0h 37m";"-32.84"
"22";"XAUUSD_M1_dukas_UTC2";"Buy";"1331.18";"1316.18";"2018.03.07 15:45:00";"2018.03.09 15:22:00";"1.0";"-1631.36";"1316.18005";"1346.18005";"44701.22";"0.00";"IST";"SL";"1d 23h 37m";"-131.36"
"23";"XAUUSD_M1_dukas_UTC2";"Buy";"1318.36";"1313.48";"2018.03.12 15:30:00";"2018.03.16 22:55:00";"1.0";"-685.04";"1303.35999";"1333.35999";"44016.18";"0.00";"IST";"End Of Friday (Time)";"4d 7h 25m";"-197.04"
"24";"XAUUSD_M1_dukas_UTC2";"Buy";"1311.95";"1326.95";"2018.03.20 15:30:00";"2018.03.21 20:00:00";"1.0";"1467.16";"1296.94995";"1326.94995";"45483.34";"0.00";"IST";"PT";"1d 4h 30m";"-32.84"
"25";"XAUUSD_M1_dukas_UTC2";"Buy";"1329.56";"1344.56";"2018.03.22 15:30:00";"2018.03.23 14:20:00";"1.0";"1467.16";"1314.56006";"1344.56006";"46950.50";"0.00";"IST";"PT";"22h 50m";"-32.84"
"26";"XAUUSD_M1_dukas_UTC2";"Buy";"1348.30";"1347.50";"2018.03.23 17:45:00";"2018.03.23 22:55:00";"1.0";"-80.00";"1333.30005";"1363.30005";"46870.50";"0.00";"IST";"End Of Friday (Time)";"5h 10m";"-0.00"
"27";"XAUUSD_M1_dukas_UTC2";"Buy";"1348.19";"1333.19";"2018.03.26 15:30:00";"2018.03.28 15:30:00";"1.0";"-1565.68";"1333.18994";"1363.18994";"45304.82";"0.00";"IST";"SL";"2d 0h 0m";"-65.68"
