"Ticket";"Symbol";"Type";"Open price";"Close price";"Open time";"Close time";"Size";"Profit/Loss";"Stop Loss price level";"Profit Target price level";"Balance";"Slippage ($)";"Sample type";"Close type";"Time in trade";"Comm/Swap"
"1";"XAUUSD_M1_dukas_UTC2";"Buy";"1313.13";"1320.26";"2018.01.02 15:30:00";"2018.01.05 22:55:00";"1.0";"548.80";"1298.13000";"1328.13000";"50548.80";"0.00";"IST";"End Of Friday (Time)";"3d 7h 25m";"-164.20"
"2";"XAUUSD_M1_dukas_UTC2";"Buy";"1320.12";"1335.12";"2018.01.08 15:45:00";"2018.01.12 20:31:00";"1.0";"1302.96";"1305.12000";"1335.12000";"51851.76";"0.00";"IST";"PT";"4d 4h 46m";"-197.04"
"3";"XAUUSD_M1_dukas_UTC2";"Buy";"1335.54";"1338.89";"2018.01.12 20:45:00";"2018.01.12 22:55:00";"1.0";"335.00";"1320.54004";"1350.54004";"52186.76";"0.00";"IST";"End Of Friday (Time)";"2h 10m";"-0.00"
"4";"XAUUSD_M1_dukas_UTC2";"Buy";"1341.47";"1326.47";"2018.01.15 15:45:00";"2018.01.17 23:55:00";"1.0";"-1664.20";"1326.46997";"1356.46997";"50522.56";"0.00";"IST";"SL";"2d 8h 10m";"-164.20"
"5";"XAUUSD_M1_dukas_UTC2";"Buy";"1329.89";"1332.82";"2018.01.18 16:15:00";"2018.01.19 22:55:00";"1.0";"260.15";"1314.89001";"1344.89001";"50782.71";"0.00";"IST";"End Of Friday (Time)";"1d 6h 40m";"-32.84"
"6";"XAUUSD_M1_dukas_UTC2";"Buy";"1333.33";"1348.33";"2018.01.22 15:45:00";"2018.01.24 11:23:00";"1.0";"1434.32";"1318.32996";"1348.32996";"52217.03";"0.00";"IST";"PT";"1d 19h 38m";"-65.68"
"7";"XAUUSD_M1_dukas_UTC2";"Buy";"1352.81";"1349.47";"2018.01.24 15:30:00";"2018.01.26 22:55:00";"1.0";"-465.37";"1337.81006";"1367.81006";"51751.66";"0.00";"IST";"End Of Friday (Time)";"2d 7h 25m";"-131.36"
"8";"XAUUSD_M1_dukas_UTC2";"Buy";"1344.44";"1329.44";"2018.01.30 15:30:00";"2018.02.02 17:11:00";"1.0";"-1664.20";"1329.43994";"1359.43994";"50087.46";"0.00";"IST";"SL";"3d 1h 41m";"-164.20"
"9";"XAUUSD_M1_dukas_UTC2";"Buy";"1336.84";"1321.84";"2018.02.05 15:30:00";"2018.02.06 22:01:00";"1.0";"-1532.84";"1321.83997";"1351.83997";"48554.62";"0.00";"IST";"SL";"1d 6h 31m";"-32.84"
"10";"XAUUSD_M1_dukas_UTC2";"Buy";"1314.65";"1313.06";"2018.02.08 15:45:00";"2018.02.09 22:55:00";"1.0";"-191.84";"1299.65002";"1329.65002";"48362.78";"0.00";"IST";"End Of Friday (Time)";"1d 7h 10m";"-32.84"
"11";"XAUUSD_M1_dukas_UTC2";"Buy";"1322.83";"1337.83";"2018.02.12 17:00:00";"2018.02.14 17:06:00";"1.0";"1434.32";"1307.82996";"1337.82996";"49797.10";"0.00";"IST";"PT";"2d 0h 6m";"-65.68"
"12";"XAUUSD_M1_dukas_UTC2";"Buy";"1342.28";"1357.28";"2018.02.14 17:15:00";"2018.02.16 04:46:00";"1.0";"1368.64";"1327.28003";"1357.28003";"51165.74";"0.00";"IST";"PT";"1d 11h 31m";"-131.36"
"13";"XAUUSD_M1_dukas_UTC2";"Buy";"1340.11";"1325.11";"2018.02.20 17:00:00";"2018.02.21 09:59:00";"1.0";"-1532.84";"1325.10999";"1355.10999";"49632.90";"0.00";"IST";"SL";"16h 59m";"-32.84"
"14";"XAUUSD_M1_dukas_UTC2";"Buy";"1331.87";"1329.20";"2018.02.21 16:15:00";"2018.02.23 22:55:00";"1.0";"-398.36";"1316.87000";"1346.87000";"49234.54";"0.00";"IST";"End Of Friday (Time)";"2d 6h 40m";"-131.36"
"15";"XAUUSD_M1_dukas_UTC2";"Buy";"1338.03";"1323.03";"2018.02.26 15:30:00";"2018.02.27 17:31:00";"1.0";"-1532.84";"1323.03003";"1353.03003";"47701.70";"0.00";"IST";"SL";"1d 2h 1m";"-32.84"
"16";"XAUUSD_M1_dukas_UTC2";"Buy";"1318.88";"1303.88";"2018.02.28 15:30:00";"2018.03.01 17:20:00";"1.0";"-1598.52";"1303.88000";"1333.88000";"46103.18";"0.00";"IST";"SL";"1d 1h 50m";"-98.52"
"17";"XAUUSD_M1_dukas_UTC2";"Buy";"1309.07";"1324.07";"2018.03.01 19:15:00";"2018.03.02 15:57:00";"1.0";"1467.16";"1294.06995";"1324.06995";"47570.34";"0.00";"IST";"PT";"20h 42m";"-32.84"
"18";"XAUUSD_M1_dukas_UTC2";"Buy";"1325.09";"1321.70";"2018.03.02 16:00:00";"2018.03.02 22:55:00";"1.0";"-339.00";"1310.08997";"1340.08997";"47231.34";"0.00";"IST";"End Of Friday (Time)";"6h 55m";"-0.00"
"19";"XAUUSD_M1_dukas_UTC2";"Buy";"1330.20";"1315.20";"2018.03.06 15:45:00";"2018.03.09 15:24:00";"1.0";"-1664.20";"1315.19995";"1345.19995";"45567.14";"0.00";"IST";"SL";"2d 23h 39m";"-164.20"
"20";"XAUUSD_M1_dukas_UTC2";"Buy";"1316.02";"1322.82";"2018.03.09 16:00:00";"2018.03.09 22:55:00";"1.0";"679.99";"1301.02002";"1331.02002";"46247.13";"0.00";"IST";"End Of Friday (Time)";"6h 55m";"-0.00"
"21";"XAUUSD_M1_dukas_UTC2";"Buy";"1320.87";"1313.48";"2018.03.12 19:45:00";"2018.03.16 22:55:00";"1.0";"-936.04";"1305.87000";"1335.87000";"45311.09";"0.00";"IST";"End Of Friday (Time)";"4d 3h 10m";"-197.04"
"22";"XAUUSD_M1_dukas_UTC2";"Buy";"1313.43";"1328.43";"2018.03.19 15:30:00";"2018.03.21 20:48:00";"1.0";"1434.32";"1298.43005";"1328.43005";"46745.41";"0.00";"IST";"PT";"2d 5h 18m";"-65.68"
"23";"XAUUSD_M1_dukas_UTC2";"Buy";"1330.57";"1345.57";"2018.03.21 21:00:00";"2018.03.23 14:21:00";"1.0";"1368.64";"1315.56995";"1345.56995";"48114.05";"0.00";"IST";"PT";"1d 17h 21m";"-131.36"
"24";"XAUUSD_M1_dukas_UTC2";"Buy";"1347.63";"1347.50";"2018.03.23 16:00:00";"2018.03.23 22:55:00";"1.0";"-13.00";"1332.63000";"1362.63000";"48101.05";"0.00";"IST";"End Of Friday (Time)";"6h 55m";"-0.00"
"25";"XAUUSD_M1_dukas_UTC2";"Buy";"1348.19";"1333.19";"2018.03.26 15:30:00";"2018.03.28 15:30:00";"1.0";"-1565.68";"1333.18994";"1363.18994";"46535.37";"0.00";"IST";"SL";"2d 0h 0m";"-65.68"
"26";"XAUUSD_M1_dukas_UTC2";"Buy";"1334.37";"1332.94";"2018.04.02 15:30:00";"2018.04.06 22:55:00";"1.0";"-340.05";"1319.37000";"1349.37000";"46195.32";"0.00";"IST";"End Of Friday (Time)";"4d 7h 25m";"-197.04"
"27";"XAUUSD_M1_dukas_UTC2";"Buy";"1332.55";"1347.55";"2018.04.09 15:30:00";"2018.04.11 14:02:00";"1.0";"1434.32";"1317.55005";"1347.55005";"47629.64";"0.00";"IST";"PT";"1d 22h 32m";"-65.68"
"28";"XAUUSD_M1_dukas_UTC2";"Buy";"1351.77";"1336.77";"2018.04.11 15:30:00";"2018.04.12 18:20:00";"1.0";"-1598.52";"1336.77002";"1366.77002";"46031.12";"0.00";"IST";"SL";"1d 2h 50m";"-98.52"
"29";"XAUUSD_M1_dukas_UTC2";"Buy";"1338.70";"1344.59";"2018.04.13 16:00:00";"2018.04.13 22:55:00";"1.0";"589.00";"1323.69995";"1353.69995";"46620.12";"0.00";"IST";"End Of Friday (Time)";"6h 55m";"-0.00"
"30";"XAUUSD_M1_dukas_UTC2";"Buy";"1346.79";"1336.09";"2018.04.16 16:15:00";"2018.04.20 22:55:00";"1.0";"-1267.05";"1331.79004";"1361.79004";"45353.07";"0.00";"IST";"End Of Friday (Time)";"4d 6h 40m";"-197.04"
"31";"XAUUSD_M1_dukas_UTC2";"Buy";"1325.16";"1323.04";"2018.04.24 15:30:00";"2018.04.27 22:55:00";"1.0";"-376.20";"1310.16003";"1340.16003";"44976.87";"0.00";"IST";"End Of Friday (Time)";"3d 7h 25m";"-164.20"
"32";"XAUUSD_M1_dukas_UTC2";"Buy";"1317.73";"1302.73";"2018.04.30 20:45:00";"2018.05.01 17:44:00";"1.0";"-1532.84";"1302.72998";"1332.72998";"43444.03";"0.00";"IST";"SL";"20h 59m";"-32.84"
"33";"XAUUSD_M1_dukas_UTC2";"Buy";"1308.64";"1314.47";"2018.05.02 15:30:00";"2018.05.04 22:55:00";"1.0";"451.64";"1293.64001";"1323.64001";"43895.67";"0.00";"IST";"End Of Friday (Time)";"2d 7h 25m";"-131.36"
"34";"XAUUSD_M1_dukas_UTC2";"Buy";"1315.17";"1319.21";"2018.05.07 18:15:00";"2018.05.11 22:55:00";"1.0";"206.95";"1300.17004";"1330.17004";"44102.62";"0.00";"IST";"End Of Friday (Time)";"4d 4h 40m";"-197.04"
"35";"XAUUSD_M1_dukas_UTC2";"Buy";"1320.72";"1305.72";"2018.05.14 16:45:00";"2018.05.15 15:23:00";"1.0";"-1532.84";"1305.71997";"1335.71997";"42569.78";"0.00";"IST";"SL";"22h 38m";"-32.84"
"36";"XAUUSD_M1_dukas_UTC2";"Buy";"1291.94";"1292.41";"2018.05.16 20:30:00";"2018.05.18 22:55:00";"1.0";"-84.35";"1276.93994";"1306.93994";"42485.43";"0.00";"IST";"End Of Friday (Time)";"2d 2h 25m";"-131.36"
"37";"XAUUSD_M1_dukas_UTC2";"Buy";"1287.47";"1302.47";"2018.05.21 16:15:00";"2018.05.24 16:50:00";"1.0";"1335.80";"1272.46997";"1302.46997";"43821.23";"0.00";"IST";"PT";"3d 0h 35m";"-164.20"
"38";"XAUUSD_M1_dukas_UTC2";"Buy";"1304.72";"1300.97";"2018.05.24 17:00:00";"2018.05.25 22:55:00";"1.0";"-407.84";"1289.71997";"1319.71997";"43413.39";"0.00";"IST";"End Of Friday (Time)";"1d 5h 55m";"-32.84"
"39";"XAUUSD_M1_dukas_UTC2";"Buy";"1299.49";"1293.59";"2018.05.28 15:30:00";"2018.06.01 22:55:00";"1.0";"-787.04";"1284.48999";"1314.48999";"42626.35";"0.00";"IST";"End Of Friday (Time)";"4d 7h 25m";"-197.04"
"40";"XAUUSD_M1_dukas_UTC2";"Buy";"1296.90";"1298.70";"2018.06.04 15:45:00";"2018.06.08 22:55:00";"1.0";"-17.05";"1281.90002";"1311.90002";"42609.30";"0.00";"IST";"End Of Friday (Time)";"4d 7h 10m";"-197.04"
"41";"XAUUSD_M1_dukas_UTC2";"Buy";"1298.33";"1283.33";"2018.06.11 15:45:00";"2018.06.15 17:00:00";"1.0";"-1697.04";"1283.32996";"1313.32996";"40912.26";"0.00";"IST";"SL";"4d 1h 15m";"-197.04"
"42";"XAUUSD_M1_dukas_UTC2";"Buy";"1279.66";"1264.66";"2018.06.18 15:45:00";"2018.06.21 08:14:00";"1.0";"-1664.20";"1264.66003";"1294.66003";"39248.06";"0.00";"IST";"SL";"2d 16h 29m";"-164.20"
"43";"XAUUSD_M1_dukas_UTC2";"Buy";"1265.87";"1270.08";"2018.06.21 16:30:00";"2018.06.22 22:55:00";"1.0";"388.16";"1250.87000";"1280.87000";"39636.22";"0.00";"IST";"End Of Friday (Time)";"1d 6h 25m";"-32.84"
"44";"XAUUSD_M1_dukas_UTC2";"Buy";"1269.07";"1254.07";"2018.06.25 15:45:00";"2018.06.27 05:04:00";"1.0";"-1565.68";"1254.06995";"1284.06995";"38070.54";"0.00";"IST";"SL";"1d 13h 19m";"-65.68"
"45";"XAUUSD_M1_dukas_UTC2";"Buy";"1256.49";"1252.45";"2018.06.27 15:30:00";"2018.06.29 22:55:00";"1.0";"-535.36";"1241.48999";"1271.48999";"37535.18";"0.00";"IST";"End Of Friday (Time)";"2d 7h 25m";"-131.36"
"46";"XAUUSD_M1_dukas_UTC2";"Buy";"1250.27";"1254.99";"2018.07.03 15:45:00";"2018.07.06 22:55:00";"1.0";"307.80";"1235.27002";"1265.27002";"37842.98";"0.00";"IST";"End Of Friday (Time)";"3d 7h 10m";"-164.20"
"47";"XAUUSD_M1_dukas_UTC2";"Buy";"1263.57";"1248.57";"2018.07.09 15:45:00";"2018.07.10 14:08:00";"1.0";"-1532.84";"1248.56995";"1278.56995";"36310.14";"0.00";"IST";"SL";"22h 23m";"-32.84"
"48";"XAUUSD_M1_dukas_UTC2";"Buy";"1255.62";"1240.62";"2018.07.10 21:15:00";"2018.07.13 11:35:00";"1.0";"-1664.20";"1240.62000";"1270.62000";"34645.94";"0.00";"IST";"SL";"2d 14h 20m";"-164.20"
"49";"XAUUSD_M1_dukas_UTC2";"Buy";"1243.00";"1228.00";"2018.07.16 15:30:00";"2018.07.17 17:32:00";"1.0";"-1532.84";"1228.00000";"1258.00000";"33113.10";"0.00";"IST";"SL";"1d 2h 2m";"-32.84"
"50";"XAUUSD_M1_dukas_UTC2";"Buy";"1225.47";"1230.22";"2018.07.18 18:45:00";"2018.07.20 22:55:00";"1.0";"343.64";"1210.46997";"1240.46997";"33456.74";"0.00";"IST";"End Of Friday (Time)";"2d 4h 10m";"-131.36"
"51";"XAUUSD_M1_dukas_UTC2";"Buy";"1229.61";"1223.34";"2018.07.23 15:30:00";"2018.07.27 22:55:00";"1.0";"-824.04";"1214.60999";"1244.60999";"32632.70";"0.00";"IST";"End Of Friday (Time)";"4d 7h 25m";"-197.04"
"52";"XAUUSD_M1_dukas_UTC2";"Buy";"1221.98";"1206.98";"2018.07.30 15:30:00";"2018.08.02 23:58:00";"1.0";"-1697.04";"1206.97998";"1236.97998";"30935.66";"0.00";"IST";"SL";"3d 8h 28m";"-197.04"
